total_affected,total_percent_affected,total_percent_active,total_served,total_outages,date_generated
14305,0.59,99.41,2448168,2278,2023-03-02T05:03:00.252Z
14240,0.59,99.41,2448168,2272,2023-03-02T05:23:21.187Z
14201,0.59,99.41,2448168,2267,2023-03-02T05:42:42.362Z
14134,0.58,99.42,2448168,2259,2023-03-02T06:12:19.878Z
14100,0.58,99.42,2448168,2255,2023-03-02T06:32:20.652Z
14098,0.58,99.42,2448168,2255,2023-03-02T06:42:09.936Z
14064,0.58,99.42,2448168,2252,2023-03-02T07:02:17.468Z
14028,0.58,99.42,2448168,2252,2023-03-02T07:22:21.152Z
13793,0.57,99.43,2448168,2243,2023-03-02T07:41:54.620Z
13757,0.57,99.43,2448168,2238,2023-03-02T08:12:42.709Z
13740,0.57,99.43,2448168,2236,2023-03-02T08:31:59.642Z
13725,0.57,99.43,2448168,2234,2023-03-02T08:43:23.298Z
13507,0.56,99.44,2448168,2234,2023-03-02T09:02:20.980Z
13504,0.56,99.44,2448168,2234,2023-03-02T09:22:58.581Z
13513,0.56,99.44,2448168,2235,2023-03-02T09:33:14.976Z
13495,0.56,99.44,2448168,2235,2023-03-02T10:02:53.967Z
13465,0.56,99.44,2448168,2222,2023-03-02T10:32:19.414Z
13472,0.56,99.44,2448168,2223,2023-03-02T10:42:55.825Z
13048,0.54,99.46,2448168,2199,2023-03-02T11:02:53.906Z
13048,0.54,99.46,2448168,2174,2023-03-02T11:23:57.889Z
13035,0.54,99.46,2448168,2173,2023-03-02T11:43:08.679Z
12966,0.53,99.47,2448168,2171,2023-03-02T12:13:12.782Z
11942,0.49,99.51,2448168,2175,2023-03-02T13:02:26.534Z
11934,0.49,99.51,2448168,2178,2023-03-02T13:32:16.644Z
11954,0.49,99.51,2448168,2191,2023-03-02T14:02:47.235Z
11953,0.49,99.51,2448168,2197,2023-03-02T14:22:44.088Z
12244,0.51,99.49,2448168,2230,2023-03-02T14:42:16.119Z
11897,0.49,99.51,2448168,2192,2023-03-02T15:02:30.607Z
11770,0.49,99.51,2448168,2173,2023-03-02T15:22:49.661Z
11569,0.48,99.52,2448168,2162,2023-03-02T15:42:20.004Z
11331,0.47,99.53,2448168,2125,2023-03-02T16:14:22.444Z
11554,0.48,99.52,2448168,2088,2023-03-02T16:41:57.460Z
11413,0.47,99.53,2448168,2049,2023-03-02T17:03:04.241Z
11361,0.47,99.53,2448168,2012,2023-03-02T17:22:20.884Z
11849,0.49,99.51,2448168,1940,2023-03-02T17:42:35.352Z
11316,0.47,99.53,2448168,1918,2023-03-02T18:12:22.099Z
10969,0.45,99.55,2448168,1884,2023-03-02T18:32:00.223Z
10893,0.45,99.55,2448168,1872,2023-03-02T18:42:17.661Z
10310,0.43,99.57,2448168,1851,2023-03-02T19:03:01.051Z
10129,0.42,99.58,2448168,1806,2023-03-02T19:22:52.066Z
10116,0.42,99.58,2448168,1797,2023-03-02T19:42:46.849Z
9499,0.39,99.61,2448168,1788,2023-03-02T20:12:13.092Z
9461,0.39,99.61,2448168,1774,2023-03-02T20:23:05.855Z
9189,0.38,99.62,2448168,1763,2023-03-02T20:42:04.235Z
8296,0.34,99.66,2448168,1723,2023-03-02T21:02:25.701Z
8321,0.34,99.66,2448168,1697,2023-03-02T21:23:20.927Z
8354,0.35,99.65,2448168,1675,2023-03-02T21:41:50.404Z
7939,0.33,99.67,2448168,1599,2023-03-02T22:02:26.924Z
8146,0.34,99.66,2448168,1574,2023-03-02T22:22:43.876Z
8147,0.34,99.66,2448168,1563,2023-03-02T22:42:17.570Z
8015,0.33,99.67,2448168,1557,2023-03-02T23:02:24.401Z
6086,0.25,99.75,2448168,1274,2023-03-03T01:32:54.702Z
3867,0.16,99.84,2448168,1097,2023-03-03T02:42:48.204Z
2988,0.13,99.87,2448168,1053,2023-03-03T04:22:17.596Z
2854,0.12,99.88,2448168,1041,2023-03-03T05:03:26.094Z
2795,0.12,99.88,2448168,1036,2023-03-03T05:23:14.230Z
2797,0.12,99.88,2448168,1034,2023-03-03T05:32:19.746Z
2823,0.12,99.88,2448168,1030,2023-03-03T06:12:46.052Z
2821,0.12,99.88,2448168,1028,2023-03-03T06:22:47.777Z
2824,0.12,99.88,2448168,1031,2023-03-03T06:34:10.502Z
2814,0.12,99.88,2448168,1021,2023-03-03T07:02:42.822Z
2814,0.12,99.88,2448168,1021,2023-03-03T07:23:28.933Z
2814,0.12,99.88,2448168,1021,2023-03-03T07:31:57.221Z
2812,0.12,99.88,2448168,1021,2023-03-03T08:12:15.223Z
